sample_id,sample_index,source,file_name,generation_status,parser_success,entity_count,relation_count
casie__10033.json,16,casie,10033.json,success,True,30,35
casie__10037.json,19,casie,10037.json,success,True,29,37
casie__10047.json,49,casie,10047.json,success,True,40,33
casie__10057.json,41,casie,10057.json,success,True,61,54
casie__10088.json,35,casie,10088.json,success,True,31,38
casie__10104.json,6,casie,10104.json,success,True,36,39
casie__10141.json,28,casie,10141.json,success,True,48,34
casie__10150.json,48,casie,10150.json,success,True,30,44
casie__10151.json,21,casie,10151.json,success,True,24,31
casie__10179.json,15,casie,10179.json,success,True,12,22
casie__10182.json,22,casie,10182.json,success,True,28,30
casie__10188.json,25,casie,10188.json,success,True,25,29
casie__10191.json,26,casie,10191.json,success,True,22,29
casie__10205.json,5,casie,10205.json,success,True,21,18
casie__10206.json,37,casie,10206.json,success,True,26,27
casie__10209.json,3,casie,10209.json,success,True,41,33
casie__10215.json,47,casie,10215.json,success,True,38,26
casie__10223.json,13,casie,10223.json,success,True,24,27
casie__10227.json,43,casie,10227.json,success,True,40,50
casie__1024.json,8,casie,1024.json,success,True,20,22
casie__10242.json,11,casie,10242.json,success,True,48,35
casie__10249.json,42,casie,10249.json,success,True,36,49
casie__10276.json,10,casie,10276.json,success,True,43,27
casie__10287.json,27,casie,10287.json,success,True,20,32
casie__10303.json,14,casie,10303.json,success,True,318,40
casie__10330.json,1,casie,10330.json,success,True,24,23
casie__10333.json,24,casie,10333.json,success,True,46,38
casie__10341.json,36,casie,10341.json,success,True,43,30
casie__10359.json,44,casie,10359.json,success,True,48,34
casie__1077.json,4,casie,1077.json,success,True,18,26
casie__1103.json,38,casie,1103.json,success,True,24,27
casie__1120.json,45,casie,1120.json,success,True,27,33
casie__1592.json,7,casie,1592.json,success,True,33,40
casie__1656.json,34,casie,1656.json,success,True,50,36
casie__1662.json,0,casie,1662.json,success,True,34,36
casie__1693.json,46,casie,1693.json,success,True,39,28
casie__1782.json,32,casie,1782.json,success,True,29,34
casie__2056.json,23,casie,2056.json,success,True,32,24
casie__2073.json,30,casie,2073.json,success,True,31,28
casie__2105.json,40,casie,2105.json,success,True,29,37
casie__216.json,39,casie,216.json,success,True,83,53
casie__2173.json,17,casie,2173.json,success,True,24,18
casie__2288.json,31,casie,2288.json,success,True,57,30
casie__2604.json,9,casie,2604.json,success,True,23,29
casie__2661.json,29,casie,2661.json,success,True,61,31
casie__364.json,33,casie,364.json,success,True,16,27
casie__365.json,18,casie,365.json,success,True,15,18
casie__410.json,2,casie,410.json,success,True,34,36
casie__638.json,20,casie,638.json,success,True,56,50
casie__769.json,12,casie,769.json,success,True,45,42
ctinexus__0-days-exploited-by-commercial-surveillance-vendor-in-egypt.json,67,ctinexus,0-days-exploited-by-commercial-surveillance-vendor-in-egypt.json,success,True,13,11
ctinexus__apache-erp-0day-underscores-dangers-of-incomplete-patches.json,86,ctinexus,apache-erp-0day-underscores-dangers-of-incomplete-patches.json,success,True,13,10
ctinexus__apple-fixes-first-zero-day-bug-exploited-in-attacks-this-year.json,63,ctinexus,apple-fixes-first-zero-day-bug-exploited-in-attacks-this-year.json,success,True,13,24
ctinexus__apts-swarm-zimbra-zero-day-to-steal-government-info-worldwide.json,82,ctinexus,apts-swarm-zimbra-zero-day-to-steal-government-info-worldwide.json,success,True,24,22
ctinexus__attackers-target-max-severity-apache-activemq-bug-to-drop-ransomware.json,51,ctinexus,attackers-target-max-severity-apache-activemq-bug-to-drop-ransomware.json,success,True,21,25
ctinexus__black-basta-bl00dy-ransomware-exploiting-recent-screenconnect-flaws.json,89,ctinexus,black-basta-bl00dy-ransomware-exploiting-recent-screenconnect-flaws.json,success,True,19,23
ctinexus__chinese-hackers-exploit-vmware-bug-as-zero-day-for-two-years.json,73,ctinexus,chinese-hackers-exploit-vmware-bug-as-zero-day-for-two-years.json,success,True,20,14
ctinexus__cloaked-ursa-phishing.json,74,ctinexus,cloaked-ursa-phishing.json,success,True,15,14
ctinexus__comcast-xfinity-breached-citrix-bleed-35m-customers.json,98,ctinexus,comcast-xfinity-breached-citrix-bleed-35m-customers.json,success,True,16,16
ctinexus__critical-risk-in-google-workspace-delegation-feature.json,94,ctinexus,critical-risk-in-google-workspace-delegation-feature.json,success,True,13,12
ctinexus__evasive-jupyter-infostealer-campaign-dangerous-variant.json,53,ctinexus,evasive-jupyter-infostealer-campaign-dangerous-variant.json,success,True,31,35
ctinexus__everything-you-need-to-know-about-apt-fancy-bear.json,81,ctinexus,everything-you-need-to-know-about-apt-fancy-bear.json,success,True,33,29
ctinexus__fortra-warns-of-new-critical-goanywhere-mft-auth-bypass-patch-now.json,66,ctinexus,fortra-warns-of-new-critical-goanywhere-mft-auth-bypass-patch-now.json,success,True,17,22
ctinexus__global-teamcity-exploitation-opens-door-to-solarwinds-style-nightmare.json,71,ctinexus,global-teamcity-exploitation-opens-door-to-solarwinds-style-nightmare.json,success,True,21,15
ctinexus__government-backed-actors-exploiting-winrar-vulnerability.json,58,ctinexus,government-backed-actors-exploiting-winrar-vulnerability.json,success,True,18,16
